energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-9.459459459459459651e+00,1.059818871576460781e-24,2.340440998640180205e-22,1.381083119882915292e-24,9.480373235168964761e-05
-9.439439439439439639e+00,1.787817979059186048e-24,2.949912250676877522e-22,2.263494722584883074e-24,1.042599165980048726e-04
-9.419419419419419626e+00,3.104462953415159215e-24,3.775116163299448321e-22,3.820262343670848542e-24,1.161773940020331436e-04
-9.399399399399399613e+00,5.587718787434286547e-24,4.928139201050532770e-22,6.686292602306874946e-24,1.315761790184904903e-04
-9.379379379379379600e+00,1.053094944648704952e-23,6.609926008195593005e-22,1.225936800249068290e-23,1.520758888108392421e-04
-9.359359359359359587e+00,2.111051621442824232e-23,9.217724137564436049e-22,2.392035667821613323e-23,1.803765817824548351e-04
-9.339339339339339574e+00,4.621220424723853492e-23,1.365120764604418780e-21,5.099484396151340607e-23,2.212585332542991990e-04
-9.319319319319319561e+00,1.160827190553121259e-22,2.240367182501947108e-21,1.248204360862461718e-22,2.838559840387619459e-04
-9.299299299299299548e+00,3.744642839072339051e-22,4.515059516261790829e-21,3.925919388315318552e-22,3.874650131751060573e-04
-9.279279279279279535e+00,2.245571726157908755e-21,1.594813608066345221e-20,2.296958466121937825e-21,5.789081819323640792e-04
-9.259259259259259522e+00,8.996266084940155081e-19,3.478154129298205676e-18,8.984334016734820893e-19,9.977789265320925315e-04
-9.239239239239239510e+00,3.643437026338045526e-21,6.924281002216312735e-21,3.555135047207508650e-21,2.232170903694222653e-03
-9.219219219219219497e+00,1.382723648970611893e-21,1.177991879757091428e-21,1.319317137155119154e-21,9.567182539249492745e-03
-9.199199199199199484e+00,9.060781536325433961e-22,4.043786157258180666e-22,8.461017189714374062e-22,1.082434842046523293e+00
-9.179179179179179471e+00,7.497958946418611209e-22,3.545649822446119411e-22,6.858773464157722310e-22,6.811724906240025634e-03
-9.159159159159159458e+00,7.085763737764039735e-22,5.471520413907824766e-22,6.355832959993283225e-22,1.902958272584196918e-03
-9.139139139139139445e+00,7.310206311722195771e-22,8.959110803551511284e-22,6.436801739250042762e-22,9.153944048473855802e-04
-9.119119119119119432e+00,8.038990907102214007e-22,1.404211879201704638e-21,6.956804684340788037e-22,5.616742804802055383e-04
-9.099099099099099419e+00,9.292568389942442170e-22,2.113977742309556394e-21,7.913541599796818970e-22,3.983093822324464432e-04
-9.079079079079079406e+00,1.119369987004064137e-21,3.099472869865936014e-21,9.393919188543917720e-22,3.119349240402372156e-04
-9.059059059059059393e+00,1.397431632035737579e-21,4.475805789669012344e-21,1.157476878117933806e-21,2.630867411616598177e-04
-9.039039039039039380e+00,1.801852280798645491e-21,6.418509778697600929e-21,1.475530278131862257e-21,2.353058046207294170e-04
-9.019019019019019368e+00,2.394949343808760773e-21,9.198345509212998937e-21,1.942627538981461047e-21,2.209945996349922865e-04
-8.998998998998999355e+00,3.278940177436980485e-21,1.324212513272174184e-20,2.639971463449306900e-21,2.166107233267317370e-04
-8.978978978978979342e+00,4.625593150137291921e-21,1.924179090950975411e-20,3.705277415244968523e-21,2.208664964947741768e-04
-8.958958958958959329e+00,6.733113988780911853e-21,2.835810211758980258e-20,5.380194146325536286e-21,2.341485044357550431e-04
-8.938938938938939316e+00,1.014060807056201052e-20,4.262077337092751080e-20,8.107111303719697579e-21,2.586736142461093339e-04
-8.918918918918919303e+00,1.587259253041067509e-20,6.576492628719029761e-20,1.273921952274723674e-20,2.995052351044097221e-04
-8.898898898898899290e+00,2.600196028804871857e-20,1.051197597214965368e-19,2.103233362852263692e-20,3.673289297811107635e-04
-8.878878878878879277e+00,4.507672878699850139e-20,1.763128882817926742e-19,3.691363468674027002e-20,4.860694601576116651e-04
-8.858858858858859264e+00,8.422757072767099733e-20,3.166094303205213675e-19,7.020222162846283563e-20,7.170891250018507400e-04
-8.838838838838839251e+00,1.753032917068484581e-19,6.302115301077962677e-19,1.496562734882775919e-19,1.258016404429059291e-03
-8.818818818818819238e+00,4.346637684114771212e-19,1.490320861143372868e-18,3.829845369833709031e-19,3.068480509945317476e-03
-8.798798798798799226e+00,1.528005442739673278e-18,4.995760935451604148e-18,1.402642126110804938e-18,1.938569879119078979e-02
-8.778778778778779213e+00,1.688673719141119770e-17,5.281369483442395289e-17,1.634055183277388440e-17,6.215862603852471968e-02
-8.758758758758759200e+00,2.472544809453951356e-17,7.454868044947163420e-17,2.560505386410546517e-17,4.448460802406007525e-03
-8.738738738738739187e+00,3.371485504808110955e-18,9.941797765679825827e-18,3.812033032919965497e-18,1.578821318825928115e-03
-8.718718718718719174e+00,1.535945297427352721e-18,4.539208293215542106e-18,1.949062184994126484e-18,8.665062108696577415e-04
