energiesP,transmissionBRP,transmissionTLP,transmissionTRP, dos_DP
-9.539539539539539703e+00,5.280507912694648807e-25,3.093956746341078597e-22,2.206114580000954111e-25,8.459910818745101674e-05
-9.519519519519519690e+00,8.338547980409407434e-25,3.603593039027525522e-22,3.460496955158187660e-25,9.195871596970442473e-05
-9.499499499499499677e+00,1.337357818228049895e-24,4.212894814965127174e-22,5.514698055407936776e-25,1.010173290912303937e-04
-9.479479479479479664e+00,2.183198607137269506e-24,4.946173202263075751e-22,8.948053658777309261e-25,1.123990091425545443e-04
-9.459459459459459651e+00,3.637712950341279880e-24,5.835729165310975149e-22,1.482399002523765228e-24,1.270497535708905122e-04
-9.439439439439439639e+00,6.208901289061947709e-24,6.925663671444607329e-22,2.516507456862930680e-24,1.464607251713699783e-04
-9.419419419419419626e+00,1.090789750524202195e-23,8.278373643099545444e-22,4.398679479480727423e-24,1.730957139116571760e-04
-9.399399399399399613e+00,1.985639484310399806e-23,9.986438528776465384e-22,7.969598326686841488e-24,2.112681596702938296e-04
-9.379379379379379600e+00,3.781629180255547633e-23,1.219636317243537739e-21,1.511238486250074006e-23,2.691022811326038633e-04
-9.359359359359359587e+00,7.646919693387537829e-23,1.516157549601332970e-21,3.043887507638615972e-23,3.634321768931750882e-04
-9.339339339339339574e+00,1.682356487657197497e-22,1.937937157677540010e-21,6.673062847043720611e-23,5.340045473932754881e-04
-9.319319319319319561e+00,4.212281936734396003e-22,2.602552913632459199e-21,1.665614419895067543e-22,8.944282163260078430e-04
-9.299299299299299548e+00,1.324842784625312807e-21,3.885724619484837940e-21,5.224733143689956495e-22,1.888551943269990360e-03
-9.279279279279279535e+00,7.072648179972595431e-21,7.983970003304108273e-21,2.783082914053765506e-21,6.806249612505671509e-03
-9.259259259259259522e+00,1.664282670674309247e-18,4.703707755568597757e-19,6.537721947811579781e-19,1.089495333693953016e+00
-9.239239239239239510e+00,2.127503359334208458e-20,9.060800443679301917e-22,8.347297059128498149e-21,9.564086887526019112e-03
-9.219219219219219497e+00,7.178302072143849756e-21,1.134847511534620458e-21,2.814527059661294251e-21,2.240083564116324318e-03
-9.199199199199199484e+00,4.619095625786487084e-21,2.102428590231336068e-21,1.810890762034830298e-21,1.012189466894438186e-03
-9.179179179179179471e+00,3.853735084936995449e-21,3.149350536218880776e-21,1.511558424288728436e-21,5.997793309158866437e-04
-9.159159159159159458e+00,3.716938504272918183e-21,4.349023054137098409e-21,1.459506942343781726e-21,4.151830717352239476e-04
-9.139139139139139445e+00,3.944571096088965185e-21,5.798896218696937926e-21,1.551612195084764942e-21,3.190347133263137566e-04
-9.119119119119119432e+00,4.490433143455913859e-21,7.613206746067056150e-21,1.770661305009107814e-21,2.647556160311185136e-04
-9.099099099099099419e+00,5.405302626075292803e-21,9.940128406367555805e-21,2.138209923579530908e-21,2.333632324785661779e-04
-9.079079079079079406e+00,6.822559655594921948e-21,1.298526285214819078e-20,2.709565704095357900e-21,2.161536214198301871e-04
-9.059059059059059393e+00,8.986750874237737216e-21,1.704699630876249037e-20,3.586227705227343598e-21,2.089628966766957671e-04
-9.039039039039039380e+00,1.232602669317525320e-20,2.257499601551906172e-20,4.946820406074763075e-21,2.100096533399028911e-04
-9.019019019019019368e+00,1.760136956062703272e-20,3.027362186789038375e-20,7.110981702997858986e-21,2.191027046584279525e-04
-8.998998998998999355e+00,2.621728503834917864e-20,4.129634134800832432e-20,1.067317223981916337e-20,2.375535869688280013e-04
-8.978978978978979342e+00,4.090575660600894156e-20,5.763736838900064445e-20,1.679925532732359721e-20,2.687265741675461919e-04
-8.958958958958959329e+00,6.735590440371603631e-20,8.298986665404495665e-20,2.793813540600834100e-20,3.196654208027783746e-04
-8.938938938938939316e+00,1.185236764246821909e-19,1.248396286823763818e-19,4.971694437297185966e-20,4.053481869867520192e-04
-8.918918918918919303e+00,2.277498462500485830e-19,2.003587672398984821e-19,9.674948002881000820e-20,5.609302279871651283e-04
-8.898898898898899290e+00,4.975668218131983232e-19,3.567243055116662950e-19,2.143917230604450800e-19,8.844073673751051950e-04
